what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1402119120806
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1402119120984
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1402119120987
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1402119121037
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1402119121038
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1402119121370
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402119122800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402119142439
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1402119142446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1402119142446
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1402119143647
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1402119143655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402119153045
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1402119155161
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1402119155442
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1402119155587
error,log,,,"Internal Error",1402119156523
error,log,,,"Problems encountered while deleting resources.",1402119156524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402119158493
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1402119158747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1402119158747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402119163771
error,log,,,"Internal Error",1402119166866
error,log,,,"Problems encountered while deleting resources.",1402119166867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402119167811
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1402119167820
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1402119167820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402119172207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402119173793
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1402119173800
