what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1406518741690
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1406518741699
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1406518741700
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1406518741701
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1406518741702
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1406518741703
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1406518741704
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1406518741714
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1406518741714
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1406518741714
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1406518741715
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1406518741716
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1406518741716
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1406518741717
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1406518741718
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1406518741753
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1406518741754
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1406518741755
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1406518741756
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1406518741756
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1406518741757
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1406518741757
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1406518741758
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1406518741759
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1406518741759
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1406518741760
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1406518741761
os,sysinfo,,,"win32",1406518741764
arch,sysinfo,,,"x86",1406518741764
ws,sysinfo,,,"win32",1406518741764
locale,sysinfo,,,"zh_CN",1406518741764
processors,sysinfo,,,"4",1406518741764
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1406518741764
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1406518741764
java.specification.name,sysinfo,,,"Java Platform API Specification",1406518741764
java.specification.vendor,sysinfo,,,"Oracle Corporation",1406518741764
java.specification.version,sysinfo,,,"1.7",1406518741764
java.vendor,sysinfo,,,"Oracle Corporation",1406518741764
java.version,sysinfo,,,"1.7.0_45",1406518741764
java.vm.info,sysinfo,,,"mixed mode, sharing",1406518741764
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1406518741764
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1406518741764
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1406518741764
java.vm.specification.version,sysinfo,,,"1.7",1406518741764
java.vm.vendor,sysinfo,,,"Oracle Corporation",1406518741764
java.vm.version,sysinfo,,,"24.45-b08",1406518741764
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1406518742933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406518743948
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1406518744947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406518747588
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1406518749247
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1406518749256
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1406518749430
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406518751385
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1406518752256
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1406518752263
